clip,class_name,group,E_i,fer_label,fer_intensity,O_i,od_top_class,od_track_count,M_i,Q_i,passes_gate,S_i
laughing_00.mp4,laughing,HIGH_FACE,0.8115,happy,STRONG,0.7817,person,7,0.567,716.0,True,0.739933
laughing_01.mp4,laughing,HIGH_FACE,0.8107,happy,STRONG,0.7179,person,7,0.5953,615.1,True,0.724392
laughing_02.mp4,laughing,HIGH_FACE,0.8132,happy,STRONG,0.649,person,4,0.54,587.1,True,0.687418
laughing_03.mp4,laughing,HIGH_FACE,0.8214,happy,STRONG,0.7337,person,3,0.5662,163.0,True,0.726912
laughing_04.mp4,laughing,HIGH_FACE,0.873,happy,STRONG,0.7026,person,4,0.5199,568.2,True,0.725073
laughing_05.mp4,laughing,HIGH_FACE,0.7761,happy,STRONG,0.7279,person,4,0.4987,412.5,True,0.689853
laughing_06.mp4,laughing,HIGH_FACE,0.7976,happy,STRONG,0.7061,person,3,0.501,441.0,True,0.691439
laughing_07.mp4,laughing,HIGH_FACE,0.8273,happy,STRONG,0.7478,person,2,0.5156,460.5,True,0.721527
laughing_08.mp4,laughing,HIGH_FACE,0.9524,happy,STRONG,0.7318,person,5,0.579,536.7,True,0.78183
laughing_09.mp4,laughing,HIGH_FACE,0.7177,happy,STRONG,0.7127,person,7,0.4216,622.3,True,0.64194
laughing_10.mp4,laughing,HIGH_FACE,0.922,happy,STRONG,0.7041,person,2,0.6558,225.7,True,0.779207
laughing_11.mp4,laughing,HIGH_FACE,0.7485,happy,STRONG,0.7366,person,8,0.501,350.7,True,0.682458
laughing_12.mp4,laughing,HIGH_FACE,0.8852,happy,STRONG,0.6908,person,4,0.5331,426.6,True,0.729103
laughing_13.mp4,laughing,HIGH_FACE,0.8427,happy,STRONG,0.742,person,7,0.5438,210.3,True,0.73272
laughing_14.mp4,laughing,HIGH_FACE,0.8806,happy,STRONG,0.8063,person,4,0.5992,562.1,True,0.784237
laughing_15.mp4,laughing,HIGH_FACE,0.7975,happy,STRONG,0.7124,person,6,0.4666,573.5,True,0.684993
laughing_16.mp4,laughing,HIGH_FACE,0.8119,happy,STRONG,0.7586,person,7,0.4878,722.9,True,0.712209
laughing_17.mp4,laughing,HIGH_FACE,0.8014,happy,STRONG,0.7017,person,4,0.521,328.2,True,0.696398
laughing_18.mp4,laughing,HIGH_FACE,0.6947,happy,STRONG,0.7392,person,3,0.5965,705.7,True,0.685707
